date,H_temp,L_temp,daylight_hours(h),water_temperature,salt,wind_speed,Density,sigma_t,DO,Chl-a
StartTime=2020/09/07 08:56:01,29.7,23,7.5,24.506,31.631,1.8,1020.945,20.945,6.755,3.83
StartTime=2020/09/15 08:55:04,24.2,18.3,2.8,21.656,25.781,1.5,1017.321,17.321,7.216,2.2
StartTime=2020/09/23 09:06:27,24.1,16.4,2.6,21.738,31.177,2.7,1021.388,21.388,8.185,2.18
StartTime=2020/09/28 09:04:43,23,12.6,8.1,19.448,27.263,2,1019.009,19.009,7.381,1.33
StartTime=2020/10/05 08:53:57,20.6,12,2.1,20.092,31.193,2.1,1021.837,21.837,7.909,3.05
StartTime=2020/10/13 09:00:54,22.2,13.7,5.4,18.86,28.899,1.8,1020.399,20.399,7.006,1.65
StartTime=2020/10/19 09:04:31,18.2,8.8,2,17.636,32.006,1.8,1023.068,23.068,7.343,0.84
StartTime=2020/10/26 09:07:09,16.9,6.7,5.8,17.371,32.58,1.5,1023.57,23.57,7.488,1.18
StartTime=2020/11/02 09:00:39,15.1,10.1,0,16.161,32.824,1.2,1024.038,24.038,8.076,1.72
StartTime=2020/11/10 09:15:35,7.6,2,6.2,14.814,33.539,1.2,1024.886,24.886,7.975,1.07
StartTime=2020/11/16 09:17:14,19,6.9,6.4,13.945,33.384,2.1,1024.95,24.95,8.843,1.06
StartTime=2020/11/24 09:07:28,10.5,2.6,6,13.744,33.485,1.5,1025.069,25.069,8.372,0.61
StartTime=2020/11/30 09:10:44,9.9,0.7,5.6,12.542,33.079,1.9,1024.994,24.994,8.331,0.66
StartTime=2020/12/07 09:16:38,9.6,1.6,2.6,11.925,33.452,1.5,1025.401,25.401,8.831,0.47
StartTime=2020/12/23 09:05:34,8.5,0,6.8,9.628,33.45,2,1025.803,25.803,9.572,0.95
StartTime=2021/01/06 09:25:42,2.6,-5.3,8.5,9.288,33.831,1.8,1026.156,26.156,9.123,0.3
StartTime=2021/01/13 09:11:26,4.5,-1.4,6.4,9.686,33.963,1.5,1026.195,26.195,8.939,0.34
StartTime=2021/01/18 09:05:51,3.2,-4.6,6,7.045,33.458,1.9,1026.198,26.198,10.494,0.34
StartTime=2021/01/21 09:06:48,8,-5.4,6.5,8.252,33.797,1.9,1026.292,26.292,9.691,0.52
StartTime=2021/01/26 10:35:56,6.7,-1.8,0,7.849,33.577,1.6,1026.178,26.178,10.537,0.78
StartTime=2021/02/01 09:05:38,6.3,-6.6,7.2,7.755,33.843,1.8,1026.401,26.401,10.044,0.46
StartTime=2021/02/08 09:18:04,0.2,-5.8,4.4,7.263,33.735,2.5,1026.386,26.386,10.664,0.22
StartTime=2021/02/15 09:44:20,11.3,4.8,0,7.76,33.706,2.5,1026.293,26.293,11.494,0.7
StartTime=2021/02/25 09:04:13,4.1,-3.5,10.2,6.743,33.763,2.5,1026.479,26.479,11.088,0.47
StartTime=2021/10/04 09:17:24,28.1,13.4,10.3,20.991,31.903,1.6,1022.14,22.14,8.471,2.55
StartTime=2021/10/11 09:02:12,27.1,15.1,4.5,20.534,33.098,1.5,1023.171,23.171,8.354,2.03
StartTime=2021/10/18 09:08:35,14.8,3.7,5.6,19.084,33.608,1.7,1023.937,23.937,6.078,1.11
StartTime=2021/10/25 09:08:15,17.2,6.3,7.4,17.43,33.654,2,1024.379,24.379,8.856,2.46
